CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
5313975,2,º»¼½ňŔÂÄÅÌÈÎÏÖƒàáãèéïƷõôöýǞĐĒēĖĚĘĠĤħĩĪīĬįĮ,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħĩİĥĲ,0.5714285714285714,0.5714285714285714,0.5,4719851,22452599.651797466,,17732748.651797466
5314766,2,º»½¼ňƖŔŕŖŗŘÅÄÇÎÏÖƒƓƕƗƘƙƚƜØÙƒàáãèéïƷôõöÿĀāąćĉĎƼǂǇǊčǉƿǌǐǑǓȂǞēĚģĤįĠĒǒĬġĪħĖĢǍǎīĘĩĮ¶Łª·ŅŃń,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħĩİĥĲ,0.18823529411764706,0.21176470588235297,0.2315789473684211,37794490,22687342.136354897,,15107147.863645103
5318961,2,º»½¼ňŔÂÅÄÌÈÎÏÖƒàáãèéïƷôõöýǞĐĒēĖĚěĜĝĞĠĤħīĪĬĘĩįĮ,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħĩİĥĲ,0.4347826086956522,0.4782608695652174,0.462962962962963,5318394,23065175.833097525,,17746781.833097525
5320594,2,º»½¼ňŔÂÄÅÌÈÎÏÖƒàáãèéïƷõôöýǞĐĒēĠĖĤħīĬĪįĕĩĮ¢¶Ł·ŃńŅ,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħĩİĥĲ,0.45833333333333337,0.47916666666666663,0.4464285714285714,7184943,22283302.01855042,,15098359.018550418
5325670,2,º»¼½ňŔÂÄÅÈŒÌÎÏÖ×ƒàáãèéïƷôõöÿĀāąĂăĄĆćĉčĎƼǂǃǇǉǊƿǌǞĒēĠĖĤħĪīĬįİĩĕĮ,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħĩİĥĲ,0.30645161290322576,0.32258064516129037,0.3380281690140845,15247981,22861986.760450665,,7614005.760450665
5327966,2,º»½¼ňŔÂÄÅÈÌ¿ÀÎÏÖƒƓƕƖƗƘƙƚƛØÙÝƒàáãèéïƷôõöýǞĐĒēĖĚĘĠĤĩħīĬĪįĮ,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħİĥĚĩĲĲ,0.3214285714285714,0.3571428571428571,0.4126984126984127,5564391,25025555.37735885,,19461164.37735885
5342369,2,º»¼½ňŔÂÄÅÈÌÎÏÖƒàáãèéïƷôõöýÿĀāąćĉĎƼǀǂǇǊčǉǌǞĐĒēĖĠĤĕħĬĪīįĩĮ¶Ł¢Ņ·Ńń,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħĩİĥĲ,0.3492063492063492,0.3650793650793651,0.352112676056338,26114653,23124597.906110544,,2990055.0938894562
5343209,2,º»¼½ňŔÂÅÄÌÈÎÏÖƒƓƖƕƗƘƙƚƛØÙÝƒàáãèéïƷôõöýǞĐĒēĖĚĠĤħīĬĪįĩĘĮ,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħĩİĥĲ,0.40740740740740744,0.42592592592592593,0.4098360655737705,3733164,22077007.44335572,,18343843.44335572
5359608,2,º»¼½ňŔÂÅÄĕÈÊÎÏÖƒàáãèéïƷõôöýǞĐĒēĠĖĤħĬĪīįĩĮ¶Ł¢·ńŃŅ,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħİĥĚĩĲĲ,0.5,0.5,0.4137931034482758,8982309,25415620.809196196,,16433311.809196196
5367672,2,º»¼½ňŔÂÄÅÌÈÎÏÖƒƓƖƕƗŁƮƘƠƢƣƦƨƩƬƯƱƲƴŃńŅ,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħĩİĥĲ,0.25,0.25,0.1694915254237288,4581804,23154127.82249478,,18572323.82249478
5376987,2,º»½¼ňŔÂÄÅÈÊÌŁŞšŢŤũŃńŅť,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħĩİĥĲ,0.1515151515151515,0.18181818181818177,0.19565217391304346,3249427,22116550.997838005,,18867123.997838005
5377651,2,º»¼½ňŔÂÄÅÌƖÈÎÏÖƒƓūŮŰűŶŴƕƗƘƙƚƜØÙÝƒàáãèéïƷôŸſŻžõöýǞĐĒēĖĚĘĠĤĩħĪīĬįĮ,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħĩİĥĲ,0.328125,0.34375,0.352112676056338,9205496,22711749.068258736,,13506253.068258736
5712830,2,º»ňŔÂÅÄÎÏÈÖƒàáãèéïƷõôöýǞĐĒēĖĠĤħīĬĪįĕĩĮ¢¶·ŁŃńŅ,º»¼½ňŔÄÅÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħİĥĩĲ,0.4222222222222223,0.4222222222222223,0.3928571428571428,4863294,21719672.315244015,,16856378.315244015
5733082,2,º»¼ňŔÂÄ½ÅŞšŢťŤũŁ,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħİĥĚĩĲĲ,0.17142857142857137,0.17142857142857137,0.19047619047619047,1457674,25106860.53079963,,23649186.53079963
5736255,2,º»¼½ňŔÂÄÅÌÎƖÈÏÖƒƓƕƗƘƙƚƜØÙÝ,º»¼½ňŔÅÄÌÐÑÖƻàãêëïƷõôöýǞĐĒēĠħĩİĥĲ,0.21212121212121215,0.21212121212121215,0.20408163265306123,17114288,22705526.337968178,,5591238.337968178
