epoch,loss,val_loss
0,1.1018190383911133,3.1467554569244385
1,1.1402387619018555,3.1215810775756836
2,1.06975257396698,3.1070964336395264
3,0.948363721370697,3.1190977096557617
4,0.9700815677642822,3.112525224685669
5,0.9582543969154358,3.092250108718872
6,0.9776629209518433,3.0618672370910645
7,0.9542072415351868,3.070767879486084
8,1.0054253339767456,3.060392379760742
9,0.8902810215950012,3.049135208129883
10,0.9019675850868225,3.04954195022583
11,0.8575160503387451,3.048330307006836
12,0.9001674056053162,3.0600056648254395
13,0.9271696209907532,3.034940004348755
14,0.7861168384552002,3.0449886322021484
15,0.8901090621948242,3.050079345703125
16,0.7881958484649658,3.0527408123016357
17,0.8695902228355408,3.0559451580047607
18,0.8095399737358093,3.0514607429504395
19,0.7781363725662231,3.0582613945007324
20,0.7808330655097961,3.0627410411834717
21,0.7860527038574219,3.055257797241211
22,0.8702349662780762,3.0597214698791504
23,0.7514615654945374,3.0626778602600098
24,0.7821068167686462,3.0949673652648926
25,0.7769219875335693,3.105551242828369
26,0.7881664633750916,3.1003661155700684
27,0.7362580299377441,3.1021602153778076
28,0.7248754501342773,3.1085903644561768
