CaseID,ActivityID,CompleteTimestamp
2742737,23,6/1/2011 8:00
2742737,25,6/16/2011 20:17
2742737,26,6/16/2011 20:17
2742737,29,6/16/2011 20:17
2742737,30,6/16/2011 20:17
2742737,31,6/16/2011 20:17
2742737,32,6/16/2011 20:17
2760925,23,10/5/2010 8:00
2760925,25,10/7/2010 22:57
2771451,23,10/6/2010 8:00
2771451,56,10/19/2010 8:00
2771451,28,11/18/2010 9:00
2771451,245,11/18/2010 9:00
2771451,248,11/22/2010 9:00
2771451,36,11/24/2010 9:00
2771451,41,11/25/2010 9:00
2771451,56,11/26/2010 9:00
2771451,25,12/1/2010 1:21
2771451,26,12/1/2010 1:22
2771451,27,12/1/2010 1:22
2771451,29,12/1/2010 1:22
2771451,32,12/1/2010 1:50
2771451,35,12/1/2010 1:50
2771451,202,12/1/2010 1:50
2771451,41,12/1/2010 1:50
2771451,49,12/1/2010 1:51
2771451,30,12/1/2010 1:51
2771451,189,12/1/2010 1:51
2771451,47,12/1/2010 1:52
2771451,48,12/1/2010 1:52
2771451,53,12/1/2010 1:53
2771451,55,12/1/2010 1:53
2771451,66,12/1/2010 1:53
2771451,242,12/1/2010 1:54
2771451,244,12/1/2010 1:54
2771451,247,12/1/2010 1:55
2771451,274,12/1/2010 19:52
2771451,49,12/1/2010 19:53
2771451,47,12/1/2010 19:53
2771451,48,12/1/2010 19:53
2771451,53,12/1/2010 19:53
2771451,55,12/1/2010 19:53
2771451,66,12/1/2010 19:54
2771451,67,12/1/2010 19:54
2771451,75,12/1/2010 19:54
2771451,73,12/1/2010 19:54
2771451,74,12/1/2010 19:54
2771451,278,12/1/2010 19:54
2771451,84,12/1/2010 19:54
2771451,83,12/1/2010 19:54
2771451,85,12/1/2010 19:54
2771451,92,12/1/2010 19:54
2771451,110,12/1/2010 19:54
2771451,111,12/1/2010 19:54
2771451,113,12/1/2010 19:54
2771451,116,12/6/2010 9:00
2771451,136,12/6/2010 9:00
2771451,114,12/6/2010 18:06
2771451,131,12/6/2010 18:09
2771451,134,12/6/2010 19:00
2771451,143,12/6/2010 19:03
2771451,145,12/15/2010 9:00
2782209,23,10/6/2010 8:00
2782209,25,10/12/2010 17:54
2782209,26,10/12/2010 17:56
2782209,29,10/12/2010 17:56
2782209,32,10/12/2010 17:56
2782209,36,10/18/2010 8:00
2782209,35,10/18/2010 23:56
2782209,30,10/18/2010 23:56
2782209,41,10/18/2010 23:57
2782209,41,10/27/2010 8:00
2782209,47,11/15/2010 18:03
2782209,49,11/15/2010 18:04
2782209,189,11/15/2010 18:04
2782209,202,11/15/2010 18:05
2782209,48,11/15/2010 18:20
2782209,53,11/15/2010 20:47
2782209,55,11/15/2010 20:53
2782209,66,11/15/2010 20:54
2782209,67,11/15/2010 20:54
2782209,75,11/15/2010 20:54
2782209,73,11/15/2010 20:54
2782209,74,11/15/2010 20:54
2782209,278,11/15/2010 20:55
2782209,83,11/15/2010 20:56
2782209,84,11/15/2010 20:56
2782209,85,11/15/2010 20:56
2782209,92,11/15/2010 21:06
2782209,110,11/15/2010 21:07
2782209,111,11/15/2010 21:07
2782209,113,11/15/2010 21:07
2782209,114,11/15/2010 21:20
2782209,116,11/16/2010 9:00
2782209,131,11/16/2010 19:58
2782209,134,11/16/2010 20:30
2782209,143,11/16/2010 20:38
2782209,56,11/18/2010 9:00
2782209,136,11/19/2010 9:00
2782209,145,11/24/2010 9:00
2783345,23,10/7/2010 8:00
2783345,41,10/11/2010 8:00
2783345,56,10/11/2010 8:00
2783345,36,10/11/2010 8:00
