epoch,loss,val_loss
0,1.169141173362732,1.7568786144256592
1,1.0919767618179321,1.7503944635391235
2,1.1619641780853271,1.7569353580474854
3,1.4489390850067139,1.7529746294021606
4,1.4678058624267578,1.7518986463546753
5,1.1377511024475098,1.7593822479248047
6,1.1050550937652588,1.7574433088302612
7,1.109318494796753,1.757407546043396
8,1.0900862216949463,1.7601473331451416
9,1.04962956905365,1.760643720626831
10,1.0804693698883057,1.7591111660003662
11,1.0965888500213623,1.7563122510910034
12,1.0605809688568115,1.7586387395858765
13,1.0479133129119873,1.7540329694747925
14,0.9512228965759277,1.7599776983261108
15,1.04231595993042,1.7569187879562378
16,1.0121897459030151,1.7560207843780518
